Part,Note,Quantity,Price (USD),Link
Unitree Go2W-EDU,"Only EDU version has the rails, for other versions, find your own way to mount",1,15000,Contact Sales 
AgileX Piper,,1,2500,Contact Sales 
MaxAmps Battery,Li-ion Battery 6S 5000mAh for arm,1,169,https://maxamps.com/collections/6s-21-6v-li-ion/products/li-ion-5000-6s1p-21-6v-battery-pack
"DC-DC Boost-Buck Converter, 9V-40V to 24V",10A 240W,1,92,https://www.ato.com/dc-dc-converter-9v-36v-to-24v?srsltid=AfmBOoqqJzvgtVkNtXF8dxDro0J_S3dy8HZb33iVAx4NpsoqxyZI_kkr
Lipo Battery Charger,Find your own,,,
USB-C hub,,1,54,https://www.amazon.com/dp/B0BXDSPSPW
Heat Set Inserts / Fasteners,Find your own,,,
mount_plate,Expand Rail to mount things,1,,CAD Provided
side_mount_real,Expand Mount plate for side mounting,2,,CAD Provided
adapter_plate_camera,Extend Wrist camera to be away from hand,1,,CAD Provided
,,,,
Total,,,17815,
