Laser Mapping Single Run, Preprocess (Standard), 
4.25179,4.2173,
0.053569,0.048417,
2.98876,2.98217,
0.037376,0.03328,
0.333062,0.331366,
0.359687,0.356967,
0.025537,0.024481,
0.016224,0.015904,
0.016705,0.015649,
0.280325,0.279429,
0.026528,0.024576,
0.017633,0.017345,
0.300261,0.299301,
0.019744,0.019456,
0.01584,0.015552,
0.270533,0.269381,
0.017216,0.015776,
0.016032,0.015712,
0.265957,0.265093,
0.0232,0.02144,
0.016993,0.016705,
0.289765,0.288741,
0.018721,0.018369,
0.017536,0.01712,
0.320069,0.319333,
0.018624,0.01808,
0.01712,0.016832,
0.0168,0.016544,
0.01648,0.016192,
0.274533,0.273797,
0.296838,0.293894,
0.01872,0.018304,
2.45041,2.44533,
1.98701,1.98225,
0.034816,0.032192,
0.016001,0.015681,
2.04941,2.0449,
0.033569,0.031521,
0.016416,0.015808,
1.98359,1.97962,
1.93767,1.93332,
0.036641,0.032993,
0.317542,0.316518,
0.017153,0.016673,
1.91047,1.90675,
0.035873,0.032449,
0.365031,0.361895,
1.96256,1.95863,
0.03232,0.029408,
0.325766,0.323526,
2.51061,2.5067,
2.94943,2.94271,
2.91657,2.91065,
2.90844,2.903,
0.03424,0.030784,
0.32183,0.320038,
0.017984,0.017024,
0.320198,0.31879,
0.019936,0.019296,
0.300294,0.298374,
0.032672,0.030176,
0.018336,0.01776,
0.016992,0.016672,
0.32007,0.318726,
0.018496,0.016672,
0.313253,0.311781,
0.017216,0.016704,
1.92205,1.91844,
0.038016,0.035264,
0.43076,0.429448,
0.018784,0.0184,
0.015585,0.015265,
0.268613,0.267749,
0.016352,0.015904,
0.015968,0.015648,
0.015008,0.014688,
0.411015,0.409511,
2.53928,2.53515,
0.038465,0.034817,
0.523498,0.52129,
0.023264,0.022336,
0.015648,0.015296,
0.015136,0.014784,
0.366759,0.365799,
0.273349,0.272421,
0.024545,0.022657,
0.019808,0.0192,
0.015137,0.014785,
0.383239,0.381703,
3.03001,3.02569,
0.032512,0.030048,
1.97869,1.97424,
1.97501,1.97044,
1.93901,1.93392,
0.031553,0.029185,
1.94452,1.9402,
0.032097,0.030081,
0.323814,0.32199,
0.017217,0.016705,
1.89972,1.89655,
0.33239,0.328966,
0.020832,0.020448,
2.49745,2.49253,
2.49464,2.48958,
0.032992,0.030528,
1.94756,1.94394,
0.031713,0.029633,
1.87191,1.86845,
0.330502,0.326502,
0.022529,0.021569,
0.016096,0.015776,
0.015681,0.015328,
0.014848,0.01456,
1.83555,1.83264,
0.342502,0.33943,
2.39499,2.39204,
0.461641,0.458217,
0.023713,0.022689,
0.307174,0.30615,
0.019744,0.019392,
0.015169,0.014913,
0.257317,0.256517,
0.023904,0.02224,
0.014721,0.014369,
0.271333,0.270597,
0.018848,0.018368,
0.015041,0.014721,
0.01584,0.015584,
0.020609,0.017856,
0.01472,0.014432,
0.014688,0.014304,
0.014305,0.013985,
0.017376,0.017056,
0.014113,0.013793,
0.016192,0.015872,
0.014752,0.014464,
0.262341,0.261188,
0.373351,0.371271,
0.020352,0.019808,
0.257156,0.256036,
0.015745,0.015361,
0.295141,0.294213,
0.351815,0.348935,
0.298982,0.297382,
3.02102,3.01727,
1.97393,1.9665,
1.91338,1.90839,
0.030657,0.027777,
1.79942,1.79635,
0.316774,0.313926,
0.020576,0.020032,
2.4196,2.41604,
2.94236,2.9374,
0.063137,0.059137,
0.353287,0.351911,
0.018337,0.017921,
0.01504,0.014752,
0.375239,0.373767,
0.018753,0.018113,
0.023744,0.023232,
0.27927,0.278438,
0.023521,0.022049,
2.94124,2.93756,
2.90777,2.90076,
0.036801,0.033505,
0.314406,0.311846,
0.018177,0.017697,
0.050337,0.047905,
0.279685,0.278309,
0.016512,0.015968,
0.014688,0.014368,
0.014625,0.014017,
2.37569,2.37304,
0.033537,0.030369,
0.409768,0.408232,
0.413096,0.41172,
0.017088,0.016608,
0.015296,0.014912,
0.253317,0.252581,
0.025569,0.023744,
0.017952,0.017344,
0.279653,0.278469,
0.019552,0.01888,
3.01657,3.01241,
2.91478,2.90869,
1.96154,1.95623,
0.034465,0.031969,
1.9473,1.94173,
0.322566,0.319046,
0.020608,0.019936,
2.40293,2.39905,
2.90338,2.89807,
0.037377,0.033441,
0.347175,0.345031,
0.021024,0.02032,
0.015329,0.015041,
0.30535,0.304134,
0.01744,0.017056,
0.016129,0.015521,
0.01472,0.0144,
0.014368,0.013984,
0.016737,0.016385,
0.01456,0.014304,
0.013729,0.013441,
0.01376,0.01344,
0.33879,0.337478,
0.285094,0.283046,
0.018912,0.01824,
0.304806,0.30327,
2.95983,2.95638,
0.309478,0.306534,
0.020513,0.019969,
0.013984,0.013664,
0.014368,0.014112,
0.014368,0.013824,
0.013728,0.013408,
0.306118,0.303334,
0.017921,0.017185,
0.271653,0.270501,
0.301382,0.299397,
2.42117,2.4179,
0.036705,0.032897,
0.298598,0.297062,
0.015872,0.015456,
0.013696,0.013312,
0.014656,0.0144,
0.013504,0.013216,
0.013409,0.013121,
0.014304,0.013984,
0.014048,0.01376,
0.014593,0.014049,
0.013888,0.013568,
3.0095,3.00489,
0.035681,0.032705,
0.039361,0.038785,
0.399751,0.398247,
0.016257,0.015681,
0.30263,0.301094,
0.018976,0.0184,
0.252485,0.251781,
0.020928,0.019872,
0.33751,0.336454,
0.01776,0.017248,
0.249093,0.247909,
0.016,0.015584,
0.252037,0.251397,
0.021217,0.020065,
0.353318,0.35191,
0.016865,0.016257,
0.264069,0.262949,
0.01696,0.016576,
0.361159,0.360295,
0.020865,0.019873,
0.264997,0.264004,
0.015648,0.015008,
0.015744,0.015392,
0.018177,0.015649,
0.294853,0.293317,
0.354374,0.353382,
0.018689,0.017856,
0.01552,0.015264,
0.013889,0.013633,
0.268613,0.267589,
0.015264,0.014912,
0.015008,0.014592,
0.374503,0.373063,
0.01792,0.01744,
0.014112,0.013824,
0.013856,0.013568,
0.014976,0.014656,
0.013985,0.013697,
0.255044,0.254244,
0.400103,0.397959,
0.270821,0.269829,
0.01696,0.01648,
0.014656,0.014336,
3.0254,3.02147,
1.94032,1.93706,
0.032736,0.029728,
0.016672,0.016384,
0.311238,0.309766,
0.258789,0.258053,
0.018273,0.017825,
0.01552,0.015168,
0.014144,0.013824,
0.257604,0.256804,
0.024288,0.022624,
0.015712,0.015424,
0.274085,0.273093,
0.016161,0.015745,
2.4404,2.43742,
0.036257,0.032769,
0.017696,0.017408,
3.01545,3.01033,
0.036289,0.032193,
0.435336,0.433128,
0.020577,0.020225,
0.258789,0.257637,
0.016288,0.015936,
0.352743,0.351847,
0.022849,0.021569,
2.96274,2.95887,
0.034561,0.031617,
0.308614,0.306726,
0.020161,0.019489,
1.95274,1.95012,
1.85296,1.85011,
0.039041,0.035681,
0.311301,0.309509,
0.016896,0.016128,
2.35332,2.35025,
2.92236,2.91477,
2.84434,2.83759,
0.038208,0.0352,
0.478665,0.476585,
0.020224,0.019616,
