img_stamp,tf_stamp,skew_ms,corners,charuco_rms_px,coverage,base_board_tx,base_board_ty,base_board_tz,base_board_rvec_x,base_board_rvec_y,base_board_rvec_z,t_std_x,t_std_y,t_std_z,rot_med_deg,reproj_rms_px
1754868158.559635968,1754868158.559635968,0.000,20,0.235,0.129,-0.130584,-0.006638,0.666451,-1.378834,-1.155386,1.486210,0.000000,0.000000,0.000000,0.000000,0.234765
1754868158.692895232,1754868158.692895232,0.000,20,0.205,0.129,-0.130404,-0.006658,0.666494,-1.378305,-1.155190,1.487232,0.000090,0.000010,0.000021,0.026681,0.204762
1754868169.150605312,1754868169.150605312,0.000,17,0.168,0.068,-0.352229,0.024169,0.586083,-1.809209,-1.077409,1.723728,0.104527,0.014527,0.037896,0.053362,0.167878
1754868169.283770624,1754868169.283770624,0.000,22,0.155,0.091,-0.365676,0.021916,0.578598,-1.852514,-1.094019,1.677226,0.114328,0.014867,0.042149,13.027338,0.155103
1754868169.416768000,1754868169.416768000,0.000,24,0.215,0.097,-0.368062,0.021014,0.575836,-1.854454,-1.099644,1.675325,0.113537,0.014251,0.042411,26.001315,0.215095
1754868169.549980416,1754868169.549980416,0.000,24,0.162,0.097,-0.367026,0.021290,0.576626,-1.851400,-1.098812,1.680688,0.109846,0.013589,0.041233,26.368953,0.162180
1754868169.683184896,1754868169.683184896,0.000,24,0.118,0.097,-0.365946,0.022851,0.576414,-1.848820,-1.092819,1.686335,0.105507,0.013090,0.039776,26.736591,0.118340
1754868169.882975488,1754868169.882975488,0.000,24,0.136,0.097,-0.365706,0.023634,0.576553,-1.848457,-1.090186,1.685889,0.101265,0.012653,0.038282,26.747842,0.135624
1754868170.016158976,1754868170.016158976,0.000,24,0.134,0.097,-0.365221,0.024037,0.576959,-1.846623,-1.091831,1.689764,0.097288,0.012249,0.036836,26.759093,0.133908
1754868170.149334272,1754868170.149334272,0.000,24,0.128,0.097,-0.365939,0.023695,0.576666,-1.848747,-1.088306,1.684245,0.093687,0.011837,0.035515,26.747842,0.127540
1754868170.415660032,1754868170.415660032,0.000,24,0.133,0.097,-0.365761,0.023747,0.576728,-1.848461,-1.090190,1.686227,0.090390,0.011455,0.034297,26.759093,0.132826
1754868170.548724480,1754868170.548724480,0.000,24,0.133,0.097,-0.365895,0.023708,0.576706,-1.849054,-1.091223,1.685753,0.087387,0.011098,0.033181,26.763635,0.133374
1754868170.681924352,1754868170.681924352,0.000,24,0.122,0.097,-0.365799,0.023814,0.576758,-1.848831,-1.088582,1.685030,0.084635,0.010773,0.032154,26.759093,0.122075
1754868170.948299008,1754868170.948299008,0.000,24,0.135,0.097,-0.365263,0.023637,0.577582,-1.845018,-1.090147,1.689196,0.082096,0.010464,0.031185,26.753806,0.134960
1754868171.081473792,1754868171.081473792,0.000,24,0.161,0.097,-0.364823,0.023775,0.577592,-1.844117,-1.090627,1.690511,0.079749,0.010183,0.030295,26.748519,0.161042
1754868171.214639872,1754868171.214639872,0.000,24,0.168,0.097,-0.364732,0.023828,0.577661,-1.843356,-1.090155,1.691443,0.077583,0.009923,0.029471,26.742555,0.167593
1754868171.347797504,1754868171.347797504,0.000,24,0.147,0.097,-0.364846,0.023976,0.577484,-1.844531,-1.090050,1.690339,0.075581,0.009685,0.028714,26.736591,0.146893
1754868171.478676480,1754868171.478676480,0.000,24,0.141,0.097,-0.364929,0.024076,0.577375,-1.845556,-1.089580,1.689074,0.073724,0.009464,0.028012,26.729868,0.140562
1754868171.612922880,1754868171.612922880,0.000,24,0.151,0.097,-0.365174,0.023979,0.577426,-1.846486,-1.090348,1.688519,0.071999,0.009254,0.027357,26.736591,0.151352
1754868171.747221760,1754868171.747221760,0.000,24,0.147,0.097,-0.365172,0.023958,0.577383,-1.846412,-1.089339,1.687374,0.070386,0.009057,0.026746,26.729868,0.147296
1754868171.881573120,1754868171.881573120,0.000,24,0.139,0.097,-0.365173,0.024017,0.577409,-1.846240,-1.090280,1.688484,0.068875,0.008873,0.026172,26.725295,0.139402
1754868172.015976704,1754868172.015976704,0.000,24,0.146,0.097,-0.365326,0.023962,0.577518,-1.846522,-1.090891,1.687998,0.067458,0.008697,0.025632,26.726423,0.145700
1754868172.150433024,1754868172.150433024,0.000,24,0.148,0.097,-0.365248,0.024050,0.577454,-1.846451,-1.088070,1.687273,0.066123,0.008533,0.025124,26.725295,0.148208
1754868172.352215808,1754868172.352215808,0.000,24,0.126,0.097,-0.365390,0.024010,0.577525,-1.846261,-1.088434,1.687851,0.064864,0.008377,0.024644,26.724220,0.125667
1754868172.489332736,1754868172.489332736,0.000,24,0.116,0.097,-0.365853,0.023833,0.577778,-1.847897,-1.088221,1.685006,0.063680,0.008227,0.024188,26.723145,0.115614
